,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameter_value,player_2_prob,player_1_prob,Prediction,Actual,Correct Prediction,,R2,,Random,Random Prediction,Correct Prediction,R2
440,David Goffin,Tomas Berdych,-0.01996604,0.020382621,-0.032950219,0.068394857,0.017624417,-0.070141932,-0.165898618,-0.195244055,0.083333333,0.63487212,0.36512788,0,0,1,,,,0.328573068,0,1,
442,Vincent Millot,Benoit Paire,-0.059960079,-0.027599505,0.036456705,-0.024915229,-0.099437148,-0.089383771,-0.571428571,-1,0,0.783024597,0.216975403,0,0,1,,,,0.807111725,1,0,
448,Alexander Zverev,Tomas Berdych,-0.0247938,0.023830635,-0.054028129,0.063008988,-0.072334851,-0.02236236,-0.380952381,-0.345882353,0.088888889,0.756493393,0.243506607,0,0,1,,,,0.918623084,1,0,
453,Lucas Pouille,Andrey Kuznetsov,0.003518793,0.009693574,0.002419808,-0.03195123,-0.037346711,-0.092941035,-0.006944444,0.192307692,0,0.491391322,0.508608678,1,0,0,,,,0.097062271,0,1,
455,Gilles Simon,Teymuraz Gabashvili,-0.021245024,-0.023982011,-0.033897036,0.021061439,0.115508309,0.099424234,0.25,0.196535245,0,0.311440046,0.688559954,1,0,0,,,,0.037575748,0,1,
457,Kenny De Schepper,Ernests Gulbis,-0.043155037,-0.035962582,-0.054425399,-0.042210021,-0.080899493,-0.092657343,-0.047619048,0.022727273,0.1,0.572641518,0.427358482,0,0,1,,,,0.245323763,0,1,
465,Pablo Cuevas,Federico Delbonis,0.029544141,-0.013512699,0.023845092,-0.075597693,0.001606604,0.029564697,0.107142857,0.01010101,0.033333333,0.400650746,0.599349254,1,1,1,,,,0.160446738,0,0,
466,Daniel Gimeno Traver,Guido Pella,-0.013967774,0.0015223,-0.0145984,0.057149362,0.050388449,-0.081860465,0.523809524,-0.033333333,0,0.287076246,0.712923754,1,0,0,,,,0.050259627,0,1,
469,Alexandr Dolgopolov,Inigo Cervantes Huegun,-0.000301638,0.037008678,0.027175591,-0.083538084,0.041101755,0.163994169,0.428571429,0.454545455,0,0.223629673,0.776370327,1,1,1,,,,0.452154623,0,0,
472,Santiago Giraldo,Guido Pella,-0.022299797,-0.015405217,-0.039483914,0.062581699,0.063596491,-0.07,0.518518519,0.133333333,0,0.27778885,0.72221115,1,0,0,,,,0.244601291,0,1,
474,David Ferrer,Albert Ramos,-0.017914629,0.00958291,0.022603515,-0.026666667,0.137939238,0.080824373,0.410714286,0.388235294,0,0.220629974,0.779370026,1,1,1,,,,0.261833165,0,0,
475,Rafael Nadal,Pablo Carreno Busta,-0.028207181,0.003687973,0.022155417,-0.048641793,0.099280935,0.037919524,0.4125,0.63556338,0,0.219572525,0.780427475,1,1,1,,,,0.450902097,0,0,
482,Juan Monaco,Daniel Gimeno Traver,-0.017400725,-0.0168702,-0.059113125,0.024767967,0.090195657,0.054511068,0.014652015,0.050065876,0,0.4397394,0.5602606,1,0,0,,,,0.753945379,1,0,
487,Dusan Lajovic,Albert Ramos,-0.001825975,-0.005565306,-0.002612716,0.00718634,0.022232897,0.012473795,0.139047619,-0.161764706,0.075,0.447995818,0.552004182,1,0,0,,,,0.47903598,0,1,
488,David Ferrer,Nicolas Jarry,-0.108428599,-0.015287735,-0.024062511,0.057142857,0.240958224,0.191935484,0.291666667,0.75862069,0,0.22345834,0.77654166,1,1,1,,,,0.276213182,0,0,
493,Bernard Tomic,Illya Marchenko,0.042010422,-0.020307007,-0.006104959,-0.013205282,0.045375356,0.09571827,0.459574468,0.3,0,0.247663766,0.752336234,1,1,1,,,,0.468059318,0,0,
501,Victor Estrella,Taylor Harry Fritz,-0.083287083,0.020574597,0.015038515,0.030942335,-0.063224292,0.001162791,0.285714286,-0.576923077,0.05,0.453493199,0.546506801,1,0,0,,,,0.738000478,1,0,
513,Sam Querrey,Dudi Sela,0.144573895,0.01225228,0.116292465,-0.131061817,-0.045243129,-0.011204482,-0.106719368,-0.08974359,0,0.478580748,0.521419252,1,1,1,,,,0.879615532,1,1,
