,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameters_value,player_2_prob,player_1_prob,Prediction,Actual
544,Gael Monfils,Horacio Zeballos,0.03160031264571085,0.018771617695937385,0.003878395151296732,0.08058287795992716,0.217677357918885,0.041121438180261705,-0.12698412698412706,0.0714285714285714,0.028571428571428567,0.45432156420126724,0.5456784357987328,1,0
546,Leonardo Mayer,Carlos Berlocq,0.048700183457590064,0.00014930325149303117,0.06288515406162465,-0.10434843793976922,-0.0006596306068601399,-0.020353982300884917,0.308695652173913,0.1384615384615384,0.03333333333333333,0.37962493287671206,0.6203750671232879,1,1
547,Pablo Cuevas,Sebastian Ofner,-0.006195885475254667,-0.001815019930600327,0.0071107596950442655,-0.12118780096308188,-0.1661904761904762,0.07804539138490041,-0.16666666666666666,-0.1339285714285714,0.05,0.6065818189085691,0.3934181810914309,0,1
550,Thiago Monteiro,Guilherme Clezar,0.002464022301713914,0.023276092708013358,0.09448442038552952,-0.06730769230769229,0.0941119221411192,0.1463963963963964,0.43478260869565216,0.26666666666666666,0.0,0.32128892684340926,0.6787110731565907,1,0
556,Sebastian Ofner,Marco Cecchinato,0.04057556343430574,0.000331736849743941,0.06776098581725187,-0.0989974937343358,0.1564935064935065,-0.047899159663865536,0.55,0.4047619047619048,0.0,0.24461551945427362,0.7553844805457264,1,1
558,Guillermo Garcia Lopez,Gerald Melzer,-0.016671253313248653,0.025336978354610237,0.02380222855450353,0.08615136876006438,0.021505376344086,-0.053789198606271786,-0.2954545454545454,-0.2285714285714285,0.07500000000000001,0.6098209563386604,0.3901790436613396,0,1
561,Roger Federer,Borna Coric,0.05178002654280027,-0.007612806901128069,0.0869275546342545,-0.08961920060474345,0.14586278586278584,0.0287132012590261,0.4952978056426332,0.4650455927051672,0.007692307692307694,0.24566929359388034,0.7543307064061197,1,1
568,Pablo Cuevas,Hyeon Chung,0.01772699922993725,0.0005625504673754321,0.008025844516368119,-0.0402597775798155,-0.1100167504187605,-0.015870679716437297,-0.10539215686274506,-0.11805555555555558,0.018181818181818184,0.5807963267147271,0.4192036732852728,0,0
582,Jack Sock,Feliciano Lopez,-0.04587179388971875,0.01283516539635119,-0.04185571707466185,-0.014971209213051813,0.008368701557129543,0.013723214976405995,0.3098330241187384,0.07727272727272727,0.023809523809523808,0.45130763700549736,0.5486923629945026,1,0
592,Fabio Fognini,Jeremy Chardy,-0.06900027616680475,-0.0008862443825161313,-0.039947682619537295,0.056142056670117214,0.08916583212788842,0.018016141629783933,0.16614420062695928,0.16715116279069764,0.022222222222222227,0.44463430466152554,0.5553656953384745,1,0
594,Dusan Lajovic,Hyeon Chung,-0.009627130868422741,-0.02804154186553789,-0.03670092557153415,-0.04473335227810929,-0.1060951817913095,0.00679694137638065,0.01785714285714285,-0.12698412698412706,0.025,0.5768023333090173,0.42319766669098263,0,0
598,Taylor Harry Fritz,Andrey Rublev,0.0456109851419988,-0.010544075369241998,0.03683871977190945,-0.1635100792309196,-0.12985292932084902,-0.06493837654058647,0.06547619047619048,0.0482758620689655,0.03333333333333333,0.4778447194745966,0.5221552805254034,1,1
610,Kyle Edmund,Dudi Sela,0.03733533157139077,0.0015738968320625074,0.04367463645200498,-0.0936046976568837,-0.057717023016707565,-0.048035209846650495,0.08928571428571436,0.07352941176470584,0.025,0.45796291615506735,0.5420370838449327,1,0
617,Pierre Hugues Herbert,Gilles Muller,-0.06431603220829071,0.003651775555061965,-0.06005003654354313,0.10762887786875794,-0.05706987098983901,-0.0978835978835979,-0.2556390977443609,-0.30496453900709225,0.06,0.6738776959076205,0.3261223040923796,0,1
620,Ryan Harrison,Federico Delbonis,0.05883028338928671,0.0022211549035208587,0.032269456066945645,0.011162790697674452,-0.014647887323943646,-0.016304347826086973,-0.0357142857142857,-0.19047619047619047,0.05555555555555556,0.5484911674997026,0.45150883250029733,0,0
623,Maximilian Marterer,Ivo Karlovic,-0.15544732932268024,-0.037812655209243935,-0.15874680581255918,0.20789281808239152,0.046632008246313805,0.026164079822616426,-0.4,-0.3333333333333333,0.1,0.7269599234275523,0.2730400765724476,0,1
624,Dusan Lajovic,Lukas Lacko,-0.05465492142847386,-0.010504904744342515,-0.04512043031081059,0.02729299980608882,0.07016042780748663,0.06279664110989414,0.0146520146520146,0.17857142857142855,0.05,0.47124054345590105,0.528759456544099,1,1
625,Denis Shapovalov,Ricardas Berankis,0.06684252653188212,0.01535192803218661,0.0942069501435706,-0.2033333333333333,-0.12408963585434175,-0.042369703787026584,0.02631578947368418,-0.02631578947368424,0.0,0.47619358304725823,0.5238064169527418,1,1
629,Borna Coric,Donald Young,0.021186111994539118,-0.01839361759892024,0.02455275457847339,-0.09303345130722687,-0.018318926213663045,-0.047765302426657004,-0.14503042596348886,-0.025000000000000026,0.05333333333333334,0.5127670451878703,0.4872329548121297,0,1
630,Horacio Zeballos,Yuichi Sugita,0.027991825754157658,-0.003240746121829653,0.039400833507212685,-0.0919567354965585,-0.13769799775376632,-0.056410256410256376,-0.18060200668896315,-0.0714285714285714,0.0,0.5696903965745095,0.43030960342549057,0,1
634,Ernesto Escobedo,Francis Tiafoe,-0.017932778218745227,-0.002394063492893235,-0.006253716713771729,-0.013626834381551378,-0.0677688953488372,-0.07687398961967158,0.041353383458646635,0.1161616161616162,0.0,0.49666714801181133,0.5033328519881887,1,1
640,Alex De Minaur,Jan Lennard Struff,-0.0666827044716442,-0.00864495504826989,-0.1450056311184268,0.3134645061728395,-0.02538948393378773,-0.06986688180718031,-0.1827956989247312,-0.31020408163265306,0.0,0.7180569010500355,0.28194309894996455,0,1
646,Laslo Djere,Tim Smyczek,-0.02948387476818138,0.007249600347753314,-0.017172174260544515,-0.11520146520146525,0.0064153969526864465,0.043290043290043316,0.375,0.3555555555555556,0.0,0.35519576678874265,0.6448042332112573,1,0
656,Kevin Anderson,Francis Tiafoe,0.07541698898979518,-0.0020259995549291587,0.0813047430899142,-0.12410294481563973,0.01410540617848971,-0.03289190984022816,0.2648556876061121,0.37843551797040176,0.0,0.32152678992288874,0.6784732100771113,1,1
657,Nick Kyrgios,Alexander Zverev,0.07524600054088912,0.0035807901142108217,0.047680644344225816,-0.05080377189043557,-0.059217515072265886,-0.08551651204153249,0.043859649122807036,-0.05634328358208951,0.05555555555555556,0.4943905203736645,0.5056094796263355,1,0
670,Jack Sock,Borna Coric,0.00953056710874932,0.016134255240453203,0.015984423834144224,-0.0063157894736841904,0.0031289729131455672,-0.012435142794855024,0.25967628430682616,0.22448979591836726,0.03333333333333333,0.4054159069432005,0.5945840930567995,1,0
671,Juan Martin Del Potro,Kei Nishikori,0.07225232075531476,0.0023315562237717948,0.042870690498364894,-0.04835103926096998,-0.09416182997610106,-0.042434401928458654,0.0,0.03781512605042015,0.042857142857142864,0.5001323197749755,0.4998676802250245,0,1
672,Benoit Paire,Filip Krajinovic,0.012702176897027587,0.035361999740015,0.023351173629986618,0.14942528735632182,0.07294069499218694,-0.10061728395061732,-0.2285714285714286,-0.1957671957671958,0.0,0.5839595772936448,0.4160404227063553,0,0
676,Michael Mmoh,Hyeon Chung,0.025576523526539087,0.006968593967768562,-0.09053605699377633,0.12854707100231402,-0.2062486344767315,-0.1447182101387709,-0.4583333333333333,-0.5555555555555556,0.1,0.7852504187587447,0.21474958124125532,0,0
681,Steve Johnson,Adrian Mannarino,0.04753044317832719,0.012009933885961676,0.0742130708896519,-0.0752302765954643,-0.09371748699479797,-0.04454454454454454,-0.031563845050215256,0.3081232492997198,0.042105263157894736,0.4320267241967558,0.5679732758032442,1,1
